symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz002065,东华软件,22.0,0.6,13.3,573.925,1.65
sh601218,吉鑫科技,18.3,0.7,11.07,270.109,1.65
sz002723,金莱特,15.0,12.3,9.09,531.07,1.65
sz002448,中原内配,14.0,1.7,8.48,602.909,1.65
sz000948,南天信息,35.6,5.5,21.76,653.492,1.64
sh600652,游久游戏,27.9,4.7,17.01,543.792,1.64
sz000050,深天马Ａ,7.4,5.1,4.52,226.547,1.64
sh601989,中国重工,13.5,0.0,8.25,460.886,1.64
sz000768,中航飞机,12.3,2.0,7.52,213.391,1.64
sz002216,三全食品,35.3,3.6,21.71,304.769,1.63
sh600707,彩虹股份,19.3,2.1,11.87,551.262,1.63
sz000798,中水渔业,17.9,3.6,11.02,166.595,1.62
sh600288,大恒科技,35.2,5.8,21.67,262.53,1.62
sz000902,新洋丰,17.5,1.8,10.78,278.334,1.62
